No.,Layer (대분류),Category (중분류),Sub-category (소분류),회사명,구분,상장여부,HQ지역,Company Mission,한줄 설명 (비고),중요도
119,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Materials,Entegris,Materials,상장,미국,"Purify, protect, and transport critical materials",반도체 공정용 특수 소재/필터/화학 공급 리더,High
120,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,Test/Handler,Cohu,Test/Handler,상장,미국,Semiconductor test solutions,반도체 테스트 핸들러 및 인터페이스 전문,Low
121,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,IP/Architecture,Arm Holdings,IP/Architecture,상장,영국,Computing for a sustainable future,AI 칩 CPU/NPU 아키텍처 IP 라이선싱 지배,High
122,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,IP/GPU,Imagination Tech,IP/GPU,비상장,영국,GPU and AI IP solutions,모바일/엣지 GPU IP 및 AI 가속기 IP 보유,Medium
123,B. Semiconductor & Components,B1. Semiconductor Equipment & EDA,SiC Wafer,Wolfspeed,SiC Wafer,상장,미국,Silicon carbide semiconductor leader,실리콘카바이드(SiC) 웨이퍼 및 파워 반도체 선두,Medium
124,B. Semiconductor & Components,B2. Compute & Silicon,GPU,NVIDIA,GPU,상장,미국,Computing technology for the age of AI,"AI 가속기 시장 80%+ 점유, Blackwell/Rubin 아키텍처",High
125,B. Semiconductor & Components,B2. Compute & Silicon,GPU/CPU,AMD,GPU/CPU,상장,미국,High-performance and adaptive computing,"MI300X/MI400 통해 NVIDIA 대항마, ZT Systems 인수",High
126,B. Semiconductor & Components,B2. Compute & Silicon,CPU/ASIC,Intel,CPU/ASIC,상장,미국,Creating world-changing technology,"Gaudi 3 가속기 및 AI PC, 파운드리 분사 추진",High
127,B. Semiconductor & Components,B2. Compute & Silicon,ASIC/Net,Broadcom,ASIC/Net,상장,미국,Connecting everything,Google TPU 공동 개발 및 AI 네트워킹 리더,High
128,B. Semiconductor & Components,B2. Compute & Silicon,Mobile AP,Qualcomm,Mobile AP,상장,미국,Inventing breakthrough technologies,Snapdragon X Elite 기반 온디바이스 AI 리더,High
129,B. Semiconductor & Components,B2. Compute & Silicon,Mobile AP,MediaTek,Mobile AP,상장,대만,Everyday genius,Dimensity 시리즈 AI 가속 및 엣지 AI SoC,Medium
130,B. Semiconductor & Components,B2. Compute & Silicon,Custom SoC,Apple,Custom SoC,상장,미국,Think different,M시리즈/A시리즈 Neural Engine 기반 온디바이스 AI,High
131,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Google (TPU),Custom ASIC,상장,미국,Organize the world's information,TPU v5p/Trillium 자체 AI 학습/추론 가속기,High
132,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Amazon (Trainium),Custom ASIC,상장,미국,Earth's most customer-centric company,Trainium2/Inferentia 자체 AI 칩 개발,High
133,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Microsoft (Maia),Custom ASIC,상장,미국,Empower every person and organization,"Maia 100 자체 AI 가속기, Azure 전용",High
134,B. Semiconductor & Components,B2. Compute & Silicon,Custom ASIC,Meta (MTIA),Custom ASIC,상장,미국,Building the future of connection,"MTIA 자체 추론 가속기, 광고/추천 최적화",High
135,B. Semiconductor & Components,B2. Compute & Silicon,WSE,Cerebras Systems,WSE,상장예정,미국,Accelerating AI compute,"세계 최대 크기 CS-3 칩, 거대 모델 학습",High
136,B. Semiconductor & Components,B2. Compute & Silicon,LPU,Groq,LPU,비상장,미국,Fast AI inference,"초고속 추론 엔진, 지연 시간 극단적 단축",High
137,B. Semiconductor & Components,B2. Compute & Silicon,RISC-V AI,Tenstorrent,RISC-V AI,비상장,캐나다,Open-source AI hardware,"Jim Keller 설립, 개방형 아키텍처 및 라이선싱",High
138,B. Semiconductor & Components,B2. Compute & Silicon,IPU,Graphcore,IPU,인수예정,영국,AI processors for the age of ML,"SoftBank 인수 추진 중, 독자적 AI 프로세서",Medium
139,B. Semiconductor & Components,B2. Compute & Silicon,RDU,SambaNova,RDU,비상장,미국,Full-stack AI platform,"가변형 데이터플로우 시스템, 대형 모델 학습",Medium
140,B. Semiconductor & Components,B2. Compute & Silicon,NPU,FuriosaAI,NPU,비상장,한국,Next-gen AI accelerators,추론용 RNGD 칩으로 글로벌 벤치마크 석권,High
141,B. Semiconductor & Components,B2. Compute & Silicon,NPU,Rebellions,NPU,비상장,한국,AI chip for everyone,사피온 합병 후 REBEL 시리즈로 확장,Medium
142,B. Semiconductor & Components,B2. Compute & Silicon,Edge AI,Axelera AI,Edge AI,비상장,네덜란드,AI everywhere with edge accelerators,"Europa 칩 629 TOPS, $370M+ 투자 유치",High
143,B. Semiconductor & Components,B2. Compute & Silicon,Edge NPU,Hailo,Edge NPU,비상장,이스라엘,AI processing for edge devices,"엣지 AI 프로세서 리더, 26 TOPS at 2.5W, $1.2B 기업가치",High
144,B. Semiconductor & Components,B2. Compute & Silicon,In-Memory,D-Matrix,In-Memory,비상장,미국,In-memory computing for AI inference,인메모리 컴퓨팅 기반 초고속 추론 가속기,Medium
145,B. Semiconductor & Components,B2. Compute & Silicon,Photonic,Celestial AI,Photonic,비상장,미국,Photonic fabric for AI compute,광학 컴퓨팅 및 포토닉 패브릭 인터커넥트,Medium
146,B. Semiconductor & Components,B2. Compute & Silicon,Photonic,Lightmatter,Photonic,비상장,미국,Interconnecting AI with photonics,광학 인터커넥트 Passage 및 AI 가속 Envise,High
147,B. Semiconductor & Components,B2. Compute & Silicon,Optical I/O,Ayar Labs,Optical I/O,비상장,미국,Optical I/O for chip-to-chip communication,"칩-투-칩 광통신 I/O, 데이터 병목 해소",Medium
148,B. Semiconductor & Components,B2. Compute & Silicon,NPU,HyperAccel,NPU,비상장,한국,Ultra-fast LLM inference,LPU 기반 초고속 LLM 추론 가속기 전문,Medium
149,B. Semiconductor & Components,B2. Compute & Silicon,NPU,DEEPX,NPU,비상장,한국,AI chips for edge devices,엣지 및 온디바이스용 고효율 AI 반도체,Medium
150,B. Semiconductor & Components,B2. Compute & Silicon,NPU,Mobilint,NPU,비상장,한국,Domain-specific AI inference,다양한 도메인 맞춤형 추론 가속 시스템,Low
151,B. Semiconductor & Components,B2. Compute & Silicon,Edge NPU,Kneron,Edge NPU,비상장,미국/대만,Full-stack edge AI solutions,"엣지 AI NPU 및 통합 SW 플랫폼, Nasdaq 상장 추진",Medium
152,B. Semiconductor & Components,B2. Compute & Silicon,Edge AI,Blaize,Edge AI,비상장,미국,AI at the edge,그래프 스트리밍 프로세서 기반 엣지 AI,Low
153,B. Semiconductor & Components,B2. Compute & Silicon,Analog AI,Mythic,Analog AI,비상장,미국,Analog compute for AI inference,아날로그 컴퓨팅 기반 극저전력 추론 칩,Low
154,B. Semiconductor & Components,B2. Compute & Silicon,Analog AI,Blumind,Analog AI,비상장,캐나다,Always-on analog AI,상시 대기형 극저전력 아날로그 AI 칩,Low
155,B. Semiconductor & Components,B2. Compute & Silicon,Neuromorphic,Rain AI,Neuromorphic,비상장,미국,Brain-inspired AI chips,"뉴로모픽 AI 칩, 뇌 구조 모방 아키텍처",Low
156,B. Semiconductor & Components,B2. Compute & Silicon,RISC-V AI,Esperanto Tech,RISC-V AI,비상장,미국,RISC-V for AI inference,1000+ 코어 RISC-V 기반 AI 추론 칩,Low
157,B. Semiconductor & Components,B2. Compute & Silicon,At-Memory,Untether AI,At-Memory,비상장,캐나다,At-memory computing for AI,At-Memory 컴퓨팅 기반 고효율 AI 추론,Low
158,B. Semiconductor & Components,B2. Compute & Silicon,NPU IP,Expedera,NPU IP,비상장,미국,Embedded NPU IP licensing,임베디드 NPU IP 라이선싱 전문,Low
159,B. Semiconductor & Components,B2. Compute & Silicon,CapRAM,Semron,CapRAM,비상장,독일,High-density AI compute hardware,고밀도 AI 연산용 CapRAM 하드웨어 개발,Low
160,B. Semiconductor & Components,B2. Compute & Silicon,Near-Zero,Vaire,Near-Zero,비상장,영국,Near-zero energy computing,에너지 손실 없는 니어-제로 에너지 컴퓨팅,Low
161,B. Semiconductor & Components,B2. Compute & Silicon,Adv Materials,CuspAI,Adv Materials,비상장,영국,AI-driven materials discovery,AI 기반 신소재 발견 및 칩 효율화 솔루션,Low
162,B. Semiconductor & Components,B2. Compute & Silicon,Industrial AI,PhysicsX,Industrial AI,비상장,영국,Simulation-based hardware optimization,시뮬레이션 기반 하드웨어 성능 최적화 AI,Low
163,B. Semiconductor & Components,B2. Compute & Silicon,Photonic,Luminous Computing,Photonic,비상장,미국,Optical AI accelerators,광학 기반 AI 연산 가속기 개발,Low
164,B. Semiconductor & Components,B2. Compute & Silicon,Photonic,Lightelligence,Photonic,비상장,미국,Photonic AI computing,광학 컴퓨팅 기반 AI 가속 칩셋,Low
165,B. Semiconductor & Components,B2. Compute & Silicon,Ultra-Low,Syntiant,Ultra-Low,비상장,미국,Always-on AI at the edge,"초저전력 음성/센서 AI, 1000만대+ 디바이스 출하",Medium
166,B. Semiconductor & Components,B3. Memory & Storage,Memory/HBM,SK Hynix,Memory/HBM,상장,한국,Creating new possibilities for memory,HBM3E 세계 최초 공급 및 차세대 CXL 주도,High
167,B. Semiconductor & Components,B3. Memory & Storage,Memory/HBM,Samsung Electronics,Memory/HBM,상장,한국,"Inspire the world, create the future",HBM 및 CXL Memory(CMM) 시장 선두권,High
168,B. Semiconductor & Components,B3. Memory & Storage,Memory/HBM,Micron,Memory/HBM,상장,미국,Enriching life for all through memory and storage,AI용 초고속 메모리 및 LPDDR5X 공급,High
169,B. Semiconductor & Components,B3. Memory & Storage,NAND,Kioxia,NAND,상장,일본,Memory to uplift the world,"3D NAND 세계 2위, 엔터프라이즈 SSD 강자",High
170,B. Semiconductor & Components,B3. Memory & Storage,Storage/HDD,Western Digital,Storage/HDD,상장,미국,Unlocking the potential of data,고용량 HDD 및 AI용 NVMe SSD 공급,Medium
171,B. Semiconductor & Components,B3. Memory & Storage,Storage/HDD,Seagate,Storage/HDD,상장,미국,Datasphere stewards,"HAMR 기반 초대용량 HDD, AI 데이터 스토리지",Medium
172,B. Semiconductor & Components,B3. Memory & Storage,Storage/Flash,VAST Data,Storage/Flash,비상장,미국,Simplify data management at scale,"AI 전용 올플래시 데이터 플랫폼 혁신, Forbes AI 50",High
173,B. Semiconductor & Components,B3. Memory & Storage,Storage/Flash,Pure Storage,Storage/Flash,상장,미국,Deliver a modern data experience,AI 최적화 올플래시 및 파일 스토리지 전문,High
174,B. Semiconductor & Components,B3. Memory & Storage,Storage/Data,NetApp,Storage/Data,상장,미국,Intelligent data infrastructure,통합 데이터 패브릭 및 AI 스토리지 관리,Medium
175,B. Semiconductor & Components,B3. Memory & Storage,Storage/SSD,Solidigm,Storage/SSD,비상장,미국,Reimagining the future of storage,수냉식 핫스왑 NVMe SSD 등 고성능 저장 장치,Medium
176,B. Semiconductor & Components,B3. Memory & Storage,HPC Storage,DDN Storage,HPC Storage,비상장,미국,AI and HPC data infrastructure,AI/HPC 전용 병렬 파일 시스템 스토리지,High
177,B. Semiconductor & Components,B3. Memory & Storage,Data Platform,WEKA,Data Platform,비상장,미국,Data platform for AI workloads,AI 워크로드 최적화 고성능 데이터 플랫폼,High
178,B. Semiconductor & Components,B3. Memory & Storage,Object Storage,MinIO,Object Storage,비상장,미국,High-performance object storage for AI,AI/ML 파이프라인용 고성능 오브젝트 스토리지,Medium
179,B. Semiconductor & Components,B3. Memory & Storage,Data Orch,Hammerspace,Data Orch,비상장,미국,Global data environment for AI,하이브리드 클라우드 AI 데이터 오케스트레이션,Medium
180,B. Semiconductor & Components,B3. Memory & Storage,Storage/RAG,Infinidat,Storage/RAG,비상장,미국/이스라엘,Enterprise storage for RAG workloads,RAG 워크로드 전용 고가용성 인피니박스,Medium
181,B. Semiconductor & Components,B3. Memory & Storage,CXL/PCIe,Astera Labs,CXL/PCIe,상장,미국,Connectivity for AI infrastructure,CXL/PCIe 연결 반도체 및 스마트 패브릭 스위치,High
182,B. Semiconductor & Components,B3. Memory & Storage,Memory IP,Rambus,Memory IP,상장,미국,Making data faster and safer,CXL/PCIe 컨트롤러 IP 및 보안 라이선싱,Medium
183,B. Semiconductor & Components,B3. Memory & Storage,Memory I/F,Montage Technology,Memory I/F,상장,중국,Memory interface chipsets,CXL 인터페이스 칩 및 메모리 컨트롤러 선두,Medium
184,B. Semiconductor & Components,B3. Memory & Storage,SSD Ctrl,Phison Electronics,SSD Ctrl,상장,대만,Storage solutions for the future,엔터프라이즈/소비자 SSD 컨트롤러 글로벌 리더,Medium
185,B. Semiconductor & Components,B3. Memory & Storage,SSD Ctrl,Silicon Motion,SSD Ctrl,상장,대만,NAND flash controller technology,자동차 및 산업용 AI SSD 컨트롤러 선두,Medium
186,B. Semiconductor & Components,B3. Memory & Storage,SSD Ctrl,FADU,SSD Ctrl,상장,한국,Enterprise SSD controller innovation,고효율 기업용 SSD 컨트롤러 및 데이터 배치,Medium
187,B. Semiconductor & Components,B3. Memory & Storage,Memory Module,Innodisk,Memory Module,상장,대만,Industrial embedded flash and DRAM,CXL 메모리 모듈 및 임베디드 저장 장치 전문,Low
188,B. Semiconductor & Components,B3. Memory & Storage,Memory SW,MemVerge,Memory SW,비상장,미국,CXL memory virtualization,CXL 메모리 가상화 및 티어링 SW 플랫폼,Medium
189,B. Semiconductor & Components,B3. Memory & Storage,Memory/Fabric,UnifabriX,Memory/Fabric,비상장,이스라엘,Memory-over-Fabrics technology,Memory-over-Fabrics 기반 자원 풀링 기술,Low
190,B. Semiconductor & Components,B3. Memory & Storage,Memory/Compute,XCENA,Memory/Compute,비상장,미국,Computational memory for CXL,CXL 3.x 기반 연산형 메모리 솔루션,Low
191,B. Semiconductor & Components,B3. Memory & Storage,Memory/HBM,NEO Semiconductor,Memory/HBM,비상장,미국,HBM design innovation,X-HBM 등 고대역폭 메모리 설계 혁신,Low
192,B. Semiconductor & Components,B3. Memory & Storage,Fabric Orch,Jackrabbit Labs,Fabric Orch,비상장,미국,CXL fabric orchestration,CXL 및 패브릭 오케스트레이션 관리 SW,Low
193,B. Semiconductor & Components,B4. Networking & Interconnect,Ethernet Switch,Arista Networks,Ethernet Switch,상장,미국,Cloud networking for the modern data era,AI 백엔드용 고속 이더넷 스위치 시장 주도,High
194,B. Semiconductor & Components,B4. Networking & Interconnect,Networking,Cisco,Networking,상장,미국,Powering an inclusive future for all,통합 엣지 플랫폼 및 AI 네트워크 보안 선두,High
195,B. Semiconductor & Components,B4. Networking & Interconnect,Optical/ASIC,Marvell,Optical/ASIC,상장,미국,Technology that moves data,AI 전용 광학 칩셋 및 커스텀 ASIC 리더,High
196,B. Semiconductor & Components,B4. Networking & Interconnect,Optics/Laser,Coherent,Optics/Laser,상장,미국,Empowering innovations in photonics,AI 광통신용 광모듈 및 레이저 기술 핵심,High
197,B. Semiconductor & Components,B4. Networking & Interconnect,Optics/Trans,Lumentum,Optics/Trans,상장,미국,Photonic solutions for the digital age,고성능 데이터 전송 부품 하이퍼스케일러 공급,Medium
198,B. Semiconductor & Components,B4. Networking & Interconnect,Optics/Transport,Ciena,Optics/Transport,상장,미국,The networking specialist,DC 간 고속 광통신 장비 및 지능형 네트워크,Medium
199,B. Semiconductor & Components,B4. Networking & Interconnect,InfiniBand,Mellanox (NVIDIA),InfiniBand,인수,이스라엘,Accelerating AI networking,"NVIDIA 인수, InfiniBand/ConnectX AI 네트워킹 핵심",High
200,B. Semiconductor & Components,B4. Networking & Interconnect,AI Ethernet,NVIDIA Spectrum-X,AI Ethernet,상장,미국,AI-optimized Ethernet,AI 워크로드 최적화 이더넷 네트워킹 플랫폼,High
201,B. Semiconductor & Components,B4. Networking & Interconnect,Connector,Amphenol,Connector,상장,미국,The world's interconnect leader,AI 서버용 고속 커넥터/케이블 어셈블리 1위,High
202,B. Semiconductor & Components,B4. Networking & Interconnect,Connector,TE Connectivity,Connector,상장,스위스,Every connection counts,DC용 고속 인터커넥트 및 전력 커넥터 리더,High
203,B. Semiconductor & Components,B4. Networking & Interconnect,Connector,Molex,Connector,비상장,미국,Creating connections for life,고속 데이터 커넥터 및 광학 모듈 전문,Medium
204,B. Semiconductor & Components,B4. Networking & Interconnect,Connector,Samtec,Connector,비상장,미국,Service is our technology,고속 PCIe/CXL 커넥터 및 케이블 어셈블리,Medium
205,B. Semiconductor & Components,B4. Networking & Interconnect,SerDes/AEC,Credo Technology,SerDes/AEC,상장,미국,Redefining high-speed connectivity,고속 SerDes 및 AEC 케이블 기술 AI DC 수혜,High
206,B. Semiconductor & Components,B4. Networking & Interconnect,Connectivity IP,Alphawave Semi,Connectivity IP,상장,캐나다/영국,Multi-standard connectivity silicon,"고속 연결 반도체 IP, DC 인터커넥트 핵심",Medium
207,B. Semiconductor & Components,B4. Networking & Interconnect,Optical Mfg,Fabrinet,Optical Mfg,상장,태국/미국,Precision optical manufacturing,광학 모듈 및 정밀 광학 부품 위탁 제조,Medium
208,B. Semiconductor & Components,B4. Networking & Interconnect,Optical Trans,Applied Optoelectronics,Optical Trans,상장,미국,Fiber optic transceivers,DC용 광트랜시버 모듈 제조,Medium
209,B. Semiconductor & Components,B4. Networking & Interconnect,Switch/Router,Juniper Networks,Switch/Router,상장,미국,AI-native networking,"HPE 인수, AI 네이티브 네트워킹 플랫폼",High
210,B. Semiconductor & Components,B4. Networking & Interconnect,Cable,Leoni,Cable,상장,독일,Solutions for energy and data management,DC용 특수 케이블 및 배선 시스템 공급,Low
211,B. Semiconductor & Components,B4. Networking & Interconnect,Optical Conn,Senko Advanced,Optical Conn,비상장,일본,Fiber optic connectivity,광섬유 커넥터 및 DC 광케이블 인프라 전문,Low
212,B. Semiconductor & Components,B5. Server & System Integration,Server/ODM,Super Micro (SMCI),Server/ODM,상장,미국/대만,Total IT solutions for today's data center,"AI GPU 서버 최대 공급업체, 액체 냉각 통합",High
213,B. Semiconductor & Components,B5. Server & System Integration,Server/OEM,Dell Technologies,Server/OEM,상장,미국,Technologies that drive human progress,PowerEdge AI 서버 및 엔터프라이즈 인프라 리더,High
214,B. Semiconductor & Components,B5. Server & System Integration,Server/OEM,HPE,Server/OEM,상장,미국,Advancing the way people live and work,"Juniper 인수, AI 서버 및 HPC 시스템 통합",High
215,B. Semiconductor & Components,B5. Server & System Integration,Server/ODM,Quanta Computer,Server/ODM,상장,대만,"Quality, innovation and service","클라우드/AI 서버 ODM 세계 최대, 빅테크 주력 공급",High
216,B. Semiconductor & Components,B5. Server & System Integration,Server/Mfg,Foxconn,Server/Mfg,상장,대만,Innovative manufacturing solutions,GB200 NVL72 랙 스케일 시스템 대량 생산,High
217,B. Semiconductor & Components,B5. Server & System Integration,Server/ODM,Wistron,Server/ODM,상장,대만,Innovation for a better world,AI 서버 ODM 및 엣지 컴퓨팅 디바이스 제조,Medium
218,B. Semiconductor & Components,B5. Server & System Integration,Server/ODM,Inventec,Server/ODM,상장,대만,Cloud and AI server solutions,클라우드/AI 서버 및 네트워크 장비 ODM,Medium
219,B. Semiconductor & Components,B5. Server & System Integration,Server/GPU,Gigabyte,Server/GPU,상장,대만,Upgrade your life,AI GPU 서버 및 워크스테이션 제조,Medium
220,B. Semiconductor & Components,B5. Server & System Integration,Server/OEM,Lenovo ISG,Server/OEM,상장,홍콩,Smarter technology for all,ThinkSystem AI 서버 및 엣지 인프라 글로벌 공급,Medium
221,B. Semiconductor & Components,B5. Server & System Integration,Server/OEM,Cisco UCS,Server/OEM,상장,미국,Unified computing systems,UCS 서버 및 하이퍼컨버지드 인프라,Medium
222,B. Semiconductor & Components,B5. Server & System Integration,HPC/AI System,Penguin Solutions,HPC/AI System,비상장,미국,AI/HPC turnkey cluster systems,AI/HPC 턴키 클러스터 시스템 구축,Medium
223,B. Semiconductor & Components,B5. Server & System Integration,AI System,NVIDIA DGX/HGX,AI System,상장,미국,Reference AI computing platforms,DGX/HGX 레퍼런스 AI 서버 플랫폼,High
224,B. Semiconductor & Components,B5. Server & System Integration,HCI,Nutanix,HCI,상장,미국,The leader in hybrid multicloud computing,하이퍼컨버지드 인프라 및 AI 워크로드 관리,Medium
225,B. Semiconductor & Components,B5. Server & System Integration,Server/OEM,Inspur,Server/OEM,비상장,중국,Intelligent computing technology leader,"중국 AI 서버 시장 1위, 글로벌 3위권",Medium
226,B. Semiconductor & Components,B6. Advanced Packaging & Components,Foundry/Pkg,TSMC,Foundry/Pkg,상장,대만,The world's dedicated semiconductor foundry,"CoWoS/InFO 어드밴스드 패키징 독보적 1위, AI 칩 생산 핵심",High
227,B. Semiconductor & Components,B6. Advanced Packaging & Components,OSAT,ASE Technology,OSAT,상장,대만,Global semiconductor packaging leader,"세계 최대 반도체 후공정(OSAT), HBM 패키징",High
228,B. Semiconductor & Components,B6. Advanced Packaging & Components,OSAT,Amkor Technology,OSAT,상장,미국/한국,Enabling innovation in electronics,"어드밴스드 패키징 글로벌 2위, 2.5D/3D 패키징",High
229,B. Semiconductor & Components,B6. Advanced Packaging & Components,Foundry/Pkg,Samsung Foundry,Foundry/Pkg,상장,한국,Technology for a better tomorrow,GAA 공정 및 I-Cube 2.5D 패키징 기술,High
230,B. Semiconductor & Components,B6. Advanced Packaging & Components,Foundry/Pkg,Intel Foundry,Foundry/Pkg,상장,미국,Creating the future of semiconductor manufacturing,Foveros 3D 패키징 및 EMIB 인터커넥트 기술,High
231,B. Semiconductor & Components,B6. Advanced Packaging & Components,Foundry,GlobalFoundries,Foundry,상장,미국,Reshaping the semiconductor industry,성숙 공정 및 RF/아날로그 칩 파운드리,Medium
232,B. Semiconductor & Components,B6. Advanced Packaging & Components,Foundry,UMC,Foundry,상장,대만,Leading specialty foundry,"성숙 공정 파운드리, 자동차/IoT AI 칩 생산",Medium
233,B. Semiconductor & Components,B6. Advanced Packaging & Components,Substrate,Ibiden,Substrate,상장,일본,Creating electronics to change the world,AI 칩용 고성능 FC-BGA 기판 세계 1위,High
234,B. Semiconductor & Components,B6. Advanced Packaging & Components,Substrate,Shinko Electric,Substrate,상장,일본,Advanced packaging substrates,"고다층 FC-BGA 기판, AI GPU 패키징 핵심 공급",High
235,B. Semiconductor & Components,B6. Advanced Packaging & Components,PCB/Substrate,Unimicron,PCB/Substrate,상장,대만,Advanced circuit board solutions,고다층 PCB 및 ABF 기판 제조 리더,Medium
236,B. Semiconductor & Components,B6. Advanced Packaging & Components,Materials,Resonac,Materials,상장,일본,Chemistry for a sustainable world,반도체 후공정 소재(몰드/본딩) 글로벌 리더,Medium
237,B. Semiconductor & Components,B6. Advanced Packaging & Components,ABF Film,Ajinomoto Fine-Techno,ABF Film,비상장,일본,Essential substrate material innovation,"ABF 필름 독점적 공급, AI 칩 기판 핵심 소재",High
